"Timestamp","... regarding your studies:","... regarding your general mood:","... regarding your expectations (worse/better than expected?):","If you want to name reasons for the above, please drop a line.","Online classes work well for lectures (lecturer presents information)","Online classes work well for tutorials (teacher presents and discusses exercises and solutions) ","Online classes work well for ""Testate"" (students present homework to e.g. research assistant)","Online classes work well for small seminars (<= 15 students)","Online classes work well for large seminars (>15 students)","Online classes work well for giving or listening to presentations","Online classes work well for reading clubs","Online classes work well for study projects","Solving homework exercises online as a group works fine","Working together on other projects (presentation, paper, etc.) online works fine.","Working online as a student assistant (HiWi) works fine.","Participating in extracurricular activities (e.g. student body, university politics) online works fine.","Managing general administration tasks (e.g. examination office) remotely works fine. ","Do you want to add something more specific about the parts of online university that work well or not so well? ","Do you have suggestions on how to improve the shortcomings of specific types of sessions?","How problematic was the summer term 2020 for you in general?","Which of the following issues or problems affected you as a result of the Covid-19 crisis and/or the online semester? ","Do you suffer from any psychological conditions?","If you suffer from any psychological conditions, did your situation worsen since March 2020?","If you like, please tell us about any particularly striking problems that you encountered personally. If possible, please mention ways in which similar problems could be preventable or solvable for others in the future.","To cope with any arising issues, which of the following services have you used?","How many ECTS points are you aiming to get this semester?","How many classes did you drop because of the current situation?","Are you currently following more or less courses than in other semesters?","How much work are the current digital courses compared to usual university courses?","Do you think that you will need more semesters than planned to complete your studies because of Corona?","Are you regularly taking part in lectures or seminars that are broadcasted live?","Have you been able to complete all your courses from the winter term?","If you have no yet completed all of your courses from the winter term, do you already know when and how you will be able to complete these courses?","How often do you arrange meetings with other people for studying?","Do you meet virtually with people for studying?","Would you wish there would be offer more online social events?","Do you feel a lack of structure in your day because of the online semester?","What tech-setup do you use for university? (Select all that apply)","Which of the university's equipment or facilities that fell away during the last semester is most crucial to your studies/you had a hard time compensating for?","How many fellow students are you regularly in contact with via chat/phone/video/screenshare (primarily uni-matters)?","Which of the following messenger/chat services do you need to communicate within the courses?","What is the most useful format for lecture slides?","What 'Format' of recorded lectures do you find the most engaging/easy to follow ?","In your opinion, how much of Stud.IP's potential is used by the average course ?","Which Stud.IP service would you like to see used more often?","Did you know? There is an interactive Google Sheet called the Coxi Grade Calculator the keep track of required courses, grades and your thesis! (Links provided in the mail to this survey.)","Did you know? There is a virtual university campus to join via a Discord (chat service) server, that provides screensharing, voice/videoChat, updates on courses and emotional support in tough times! (Links provided in the mail to this survey.)","Share your Secrets: Times and Dates - Please let us know about all the apps you are using regarding time management. [Comma, separated answers, are, highly apprechiated]","Share your Secrets: Files and Notes - Please let us know about all the apps you are using regarding file organization and note-taking. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: Peers and Partners - Please let us know about all the apps you are using regarding personal connection and team-learning. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: The MVP - Please let us know about the app/service/device that you are using the most and could not study without. [Name the app and explain what makes it your ""Most Valuable Player""]","What program are you enrolled in?","What semester are you in?","In case the next semester will be an online semester like the current, how important would it be for you to know this as soon as possible?","Please share anything that so far you had no chance of mentioning!"
"2020/06/11 2:09:37 PM GMT+2","8","9","9","","10","8","10","","9","3","","8","10","10","","","","","","3","term abroad cancelled / postponed","No","I dont suffer from any psychological condition","","Advice mentoring team","more than 30 ECTS","None","about the same","8","Yes, one semester more","Yes","Yes","","about the same","Yes","No","No","Desktop/Laptop Computer","Frosch","4","Stud.IP Forum;Discord","Powerpoint","Video of slides + Narration by lecturer.","8","","Yes","Yes","Google Calendar","Word, Google Drive, Google Back up & Sync","WhatsApp, Discord, Skype","MacBook, pretty much the whole semester happens on it (Watching Lectures, Group Work, Testate, Programming)","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:13:12 PM GMT+2","4","2","3","","8","6","2","6","4","3","5","3","3","3","","2","3","","","7","financial issues;social issues;issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Advice mentoring team","30 ECTS","2","a bit more","9","Yes, one semester more","Yes","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Frosch","8","Slack;Riot;Discord;Skype and Telegram","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","aTimeLogger, Google Kalender","","Telegram, Discord","aTimeLogger: to keep track of actually how much time went into my studies so that i can regulate how much time i have to spend each day and which course may need more of my attention","BSc CogSci","2","Very important to know ASAP","Thanks for all the work that the professors and tutors are doing right now! ^^"
"2020/06/11 2:14:45 PM GMT+2","10","9","9","","","","","","","","","","","","","","","","","2","no particular issues","No","I dont suffer from any psychological condition","","Psychological counseling","less than 15 ECTS","None","about the same","","No","","","","","","Yes","No","Desktop/Laptop Computer","","5","Slack","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","","","Yes","No","pomodoro tracker (https://pomodoro-tracker.com/), OneNote, Google Calendar","OneNote, PowerPoint, Overleaf","Slack, Telegram, Jitsi, Zoom, Skype, Facebook, Email","OneNote!","","8+","Good to know at some point but not urgent",""
"2020/06/11 2:17:18 PM GMT+2","5","3","3","","","3","","7","4","7","","3","2","3","4","2","","","","7","mental health issues;financial issues;social issues","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","","None","more than 30 ECTS","2","a bit more","6","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","2","Stud.IP Forum;Discord","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","","","","","MSc CogSci","2","Very important to know ASAP",""
"2020/06/11 2:17:42 PM GMT+2","2","3","5","Without any appointments or timelines, it is hard to plan your day and to find motivation. ","5","4","9","","","4","","","8","","2","","1","","","10","physical health issues;mental health issues;internship (or similar) cancelled / postponed;issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, to the degree where it made me dysfunctional on some level","","Psychological counseling","20 ECTS","2","much less","7","Yes, one semester more","No","Yes","","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Tablet (+ Pen);Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","2","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","3","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","BSc CogSci","6","Very important to know ASAP",""
"2020/06/11 2:18:14 PM GMT+2","4","3","6","Self Motivation is a hard thing theses days.","7","5","2","2","7","3","8","","3","5","","","","","","7","mental health issues;financial issues;social issues","No","","","None","less than 15 ECTS","4","much less","9","Yes, one semester more","Yes","Yes","No","more often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Pen & Paper","Eduroam/UniWifi Speeds","3","Stud.IP Forum;Discord;Zoom","HTML/Web","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","5","","No","No","trello","evernote, google keep, ","zoom, discord, skype","spotify","","8+","Very important to know ASAP",""
"2020/06/11 2:19:14 PM GMT+2","8","6","8","","8","7","","","8","","","6","7","6","","","","","","3","mental health issues;social issues;issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","more than 30 ECTS","1","about the same","3","No","No","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer","Mensa","2","Discord","HTML/Web","Video of slides + Narration by lecturer.","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","","","","","","4","Very important to know ASAP",""
"2020/06/11 2:19:37 PM GMT+2","3","2","5","What is particularly problematic for me is the lack of possibilities to study outside home as all universities buildings are closed.","","","","7","","","","","","","","","8","","","3","","No","I dont suffer from any psychological condition","","Examination office","15 ECTS","None","much less","5","Yes, one semester more","Yes","Yes","","","No","","Yes","Desktop/Laptop Computer;Pen & Paper","Frosch","1","Blubber;Stud.IP Forum","","","6","","Yes","Yes","Google Calendar","","Asana","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/11 2:21:01 PM GMT+2","8","7","9","","9","","5","","","7","","","3","","","","","","","5","term abroad cancelled / postponed;internship (or similar) cancelled / postponed","No","I dont suffer from any psychological condition","","None","25 ECTS","2","much less","2","No","No","Yes","","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Mensa","4","telegram, jitsi","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","5","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","bullet journal (no app)","OneNote","telegram, jitsi, BBB","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:21:44 PM GMT+2","7","7","7","","10","","10","","","","","","3","","9","","4","","","3","mental health issues;term abroad cancelled / postponed;internship (or similar) cancelled / postponed","Yes (Diagnosed or Suspected; via health care professional)","No","","","20 ECTS","None","about the same","4","No","No","No","No","about the same","Yes","No","No","Desktop/Laptop Computer","Printers","3","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","6","","Yes","Yes","","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:22:03 PM GMT+2","7","4","7","","8","8","3","2","2","4","","2","3","4","2","","","","","6","physical health issues;mental health issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","None","25 ECTS","None","much less","3","Yes, one semester more","Yes","Yes","","about the same","No","Yes","No","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","1","Slack;Stud.IP Forum;Discord;Telegram ","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","9","Vips (With Question Pool & Selftest options )","No","No","","Trello","","","MSc CogSci","1","Very important to know ASAP","I wished I knew my fellow coxi master students! I have no clue about them, there wasn't any introduction opportunity :/"
"2020/06/11 2:22:05 PM GMT+2","1","1","1","","3","3","6","8","2","5","5","5","4","3","","","","","","10","mental health issues;term abroad cancelled / postponed;issues with access to study material (library, labs)","Yes (Diagnosed or Suspected; via health care professional)","Yes, to the degree where it made me dysfunctional on some level","","Psychological counseling;Advice fellow students","30 ECTS","2","about the same","10","Yes, one semester more","Yes","No","No","more often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Tablet (+ Pen)","Secluded Workplaces (e.g. Library Rooms)","5","Blubber;Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","9","Vips (With Question Pool & Selftest options )","Yes","Yes","be focused(pomodoro timer)","the in-built apple notes app, GoodNotes on iPad, StudApp","Whatsapp, telegram","GoodNotes on iPad (makes organizing Folien etc so easy and is the best alternative to normal paper writing with the Apple Pen) and my iPad in general","BSc CogSci","4","Very important to know ASAP","Thanks for taking the time to do these surveys, helps a lot with not feeling left alone by the university."
"2020/06/11 2:22:13 PM GMT+2","7","4","7","","8","8","3","2","2","4","","2","3","4","2","","","","","6","physical health issues;mental health issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","None","25 ECTS","None","much less","3","Yes, one semester more","Yes","Yes","","about the same","No","Yes","No","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","1","Slack;Stud.IP Forum;Discord;Telegram ","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","9","Vips (With Question Pool & Selftest options )","No","No","","Trello","","","MSc CogSci","1","Very important to know ASAP","I wished I knew my fellow coxi master students! I have no clue about them, there wasn't any introduction opportunity :/"
"2020/06/11 2:22:41 PM GMT+2","2","1","2","","3","1","3","8","4","5","5","","2","2","","","3","","","9","mental health issues;social issues;term abroad cancelled / postponed","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Advice mentoring team;Psychological counseling","more than 30 ECTS","1","a bit less","9","Yes, one semester more","Yes","No","No","more often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","7","","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","9","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","No","","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/11 2:23:47 PM GMT+2","6","2","6","... regarding your general mood: lack of social life","7","2","2","","4","6","","","6","4","5","","10","","","8","mental health issues;social issues","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","The daily routine during the online semester lacks social contact of any kind. Additionally, the high workload during the semester leaves little free time for the few recreational/social activities still possible.","Psychological counseling","30 ECTS","None","a bit more","5","No","Yes","No","No","about the same","Yes","Yes","Maybe","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","2","Slack;Blubber;Stud.IP Forum","HTML/Web","Video of slides + Narration by lecturer.","7","","Yes","Yes","OneNote, Google calendar","OneNote, OneDrive","","","BSc CogSci","4","It doesn't matter at all when I would know",""
"2020/06/11 2:24:23 PM GMT+2","7","4","8","","9","","","","","","","8","10","10","","","","","","4","mental health issues;social issues","Seems likely /or/ Yes, but not diagnosed","No","","talking to family and friends","30 ECTS","None","a bit more","6","No","No","No","No","less often than in previous semesters","No","","Maybe","Desktop/Laptop Computer;Pen & Paper","Printers","3","","Powerpoint","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Cliqr (Online Polls & Surveys)","No","No","","","","","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/11 2:27:42 PM GMT+2","8","2","7","since you cant do anything else anymore, I decided to take a hella lot of courses which I consider cool. I love the courses, so regarding studies - this semester is going quite well. Miss having other people around while working though. It is much harder to stay motivated when there is no one else physically around, working as well. ","9","2","5","4","4","9","3","5","8","8","5","8","5","the big blue button channel works great for lectures but not really for tutorials. from my experience most students dont want to turn on their microphone, so no one is speaking except the tutor. people try to explain their question in the chats, which usually leads to misunderstandings.. It's pretty exhausting. ","make it obligatory to speak up? one probably cant do that.","4","mental health issues;financial issues;social issues;issues with technical equipment (computer, internet, ...)","No","Yes, but i can somehow deal with it","","None","more than 30 ECTS","1","much more","8","","Yes","No","Yes","less often than in previous semesters","Yes","","Maybe","Desktop/Laptop Computer;Pen & Paper","Frosch","6","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","pen & paper- to do list","","Skype, Telegram, Discord","","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/11 2:29:51 PM GMT+2","4","2","2","","9","3","9","","10","","","","8","8","6","","7","Tutorials are not always given.","Its difficult doing paper work, without having the possibility to use a printer. (As it is not allowed in the library)","7","term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","","","","","more than 30 ECTS","1","about the same","7","","Yes","No","No","less often than in previous semesters","Yes","","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","5","","PDF (with Lecturer comments attached)","","6","Wiki (Look up specific descriptions & definitions)","Yes","","","","","","BSc CogSci","4","Good to know at some point but not urgent","The reason for not knowing when to finish a course of the last semester is because it is suppose to be a written exam. As for this semester I have other courses which are suppose to have a written exam. It is not helping in the motivation and in time planing for the summer, that I have no idea when those exams will be held. "
"2020/06/11 2:29:54 PM GMT+2","3","2","4","I wouldn’t consider studying during corona as real studying, it’s rather a ‚Fernstudium‘. I decided to study because I was not only interested in the courses, but also to get in touch with likeminded people to create a network. During corona that’s definitely not possible.","2","7","3","5","5","3","4","3","3","2","7","4","9","I‘m participating in the machine learning lecture and the course is not working at all. Lectures are missing and the content isn’t well transmitted through online lectures. Currently I’m learning solely by books and the web. I would like to have at least some guidance from our lecturer on where to look for information or which content should be looked at more closely.","","8","physical health issues;mental health issues;social issues;issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Advice mentoring team;Advice Fachschaft;Tandem mentoring","20 ECTS","1","a bit less","9","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Tablet (+ Pen);Pen & Paper","Mensa","2","Slack;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","8","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","Calendar","OneNote","","","MSc CogSci","2","Very important to know ASAP","I don’t like the way the online semester is structured (online courses, uncertainty of exams, no social life) and would like to have a normal semester for WS 20/21. "
"2020/06/11 2:31:06 PM GMT+2","4","5","5","","4","2","","","","3","","","1","1","","","5","It is annoying when video recordings etc. are uploaded unreliable (e.g. one week on monday and the other on thursday), that makes it hard to create oneself a fixed time schedule.","","5","mental health issues;social issues;issues with technical equipment (computer, internet, ...)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","more than 30 ECTS","1","a bit more","9","Yes, one semester more","Yes","Yes","","less often than in previous semesters","No","Yes","No","Hybrid Laptop/Tablet;Pen & Paper","","4","Blubber;Stud.IP Forum;Discord;git","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","5","VIP's and Cliqr","Yes","Yes","","","","","BSc CogSci","4","Very important to know ASAP","It would be really nice to know about this exam period, like dates, if online etc. Further the beginning and especially the ending of the WS is important, because I am planning an Erasmus semester next spring and if the WS will be shifted back, I could maybe not participate in the WS at all!"
"2020/06/11 2:32:10 PM GMT+2","7","4","8","","7","8","5","6","5","3","5","5","7","6","","","","","","4","mental health issues;social issues","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","more than 30 ECTS","None","a bit more","5","No","Yes","No","No","less often than in previous semesters","No","","No","Desktop/Laptop Computer;Printer;Pen & Paper","Frosch","6","Slack;Riot;Stud.IP Forum;Discord","Powerpoint","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","8","Wiki (Look up specific descriptions & definitions)","No","Yes","","","","","BSc CogSci","2","Good to know at some point but not urgent","I like that i can choose when to watch most of the lectures. It actually feels way better than last semester."
